ProductID,ProductName,Category,SubCategory,Brand,SKU,Description,Specifications,UseCase,Price,Unit,Tags
2000,Lockout Devices - Klein Tools Model KL7419,Safety,Lockout Devices,Klein Tools,KL7419,"This lockout devices from Klein Tools is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 10A, Wattage: 50W, Material: Copper, Compliance: UL Listed, Color: Red",residential,$778.06,Per 100ft,"commercial, industrial, steel, LED"
2001,Jacks & Plugs - Hubbell Model HU5363,DataCom,Jacks & Plugs,Hubbell,HU5363,"This jacks & plugs from Hubbell is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 30A, Wattage: 100W, Material: Aluminum, Compliance: RoHS Compliant, Color: White",residential,$913.48,Per ft,"steel, industrial, commercial, outdoor"
2002,Patch Panels - Siemens Model SI9784,DataCom,Patch Panels,Siemens,SI9784,"This patch panels from Siemens is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 30A, Wattage: 25W, Material: Plastic, Compliance: CSA Certified, Color: Blue",educational,$81.79,Per 10ft,"LED, electrical, residential, data"
2003,Emergency Lighting - Hubbell Model HU9529,Lighting,Emergency Lighting,Hubbell,HU9529,"This emergency lighting from Hubbell is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 20A, Wattage: 25W, Material: Aluminum, Compliance: CSA Certified, Color: Gray",industrial,$561.49,Per ft,"residential, breaker, steel, electrical"
2004,Gloves - Leviton Model LE7371,Safety,Gloves,Leviton,LE7371,"This gloves from Leviton is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 15A, Wattage: 150W, Material: Steel, Compliance: UL Listed, Color: Gray",industrial,$376.5,Pack,"copper, LED, breaker, residential"
2005,Thermostats - 3M Model 3M3079,HVAC,Thermostats,3M,3M3079,"This thermostats from 3M is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 30A, Wattage: 15W, Material: Steel, Compliance: CSA Certified, Color: Gray",industrial,$20.48,Each,"electrical, industrial, outdoor, commercial"
2006,Outdoor Lighting - Square D Model SQ2455,Lighting,Outdoor Lighting,Square D,SQ2455,"This outdoor lighting from Square D is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 20A, Wattage: 15W, Material: Aluminum, Compliance: UL Listed, Color: Black",healthcare,$385.14,Per 10ft,"LED, commercial, residential, outdoor"
2007,Indoor Lighting - 3M Model 3M4174,Lighting,Indoor Lighting,3M,3M4174,"This indoor lighting from 3M is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 50A, Wattage: 100W, Material: Steel, Compliance: UL Listed, Color: Blue",commercial,$322.76,Per ft,"LED, copper, commercial, residential"
2008,Outdoor Lighting - Hubbell Model HU1922,Lighting,Outdoor Lighting,Hubbell,HU1922,"This outdoor lighting from Hubbell is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 277V, Amperage: 15A, Wattage: 150W, Material: Copper, Compliance: CSA Certified, Color: Blue",commercial,$402.28,Box,"data, industrial, electrical, breaker"
2009,Cables - Southwire Model SO8034,DataCom,Cables,Southwire,SO8034,"This cables from Southwire is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 20A, Wattage: 150W, Material: Copper, Compliance: RoHS Compliant, Color: Blue",industrial,$872.18,Per 10ft,"industrial, residential, electrical, breaker"
2010,Sensors - Square D Model SQ9117,HVAC,Sensors,Square D,SQ9117,"This sensors from Square D is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 50A, Wattage: 5W, Material: Plastic, Compliance: CSA Certified, Color: Black",educational,$970.5,Each,"breaker, industrial, LED, steel"
2011,Indoor Lighting - Square D Model SQ6925,Lighting,Indoor Lighting,Square D,SQ6925,"This indoor lighting from Square D is engineered for industrial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 120V, Amperage: 20A, Wattage: 150W, Material: Copper, Compliance: CSA Certified, Color: White",industrial,$298.48,Per 10ft,"LED, residential, steel, industrial"
2012,Load Centers - 3M Model 3M4716,Power Distribution,Load Centers,3M,3M4716,"This load centers from 3M is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 100A, Wattage: 15W, Material: Plastic, Compliance: RoHS Compliant, Color: Red",commercial,$872.46,Each,"steel, outdoor, LED, commercial"
2013,Meters - Klein Tools Model KL3141,Tools & Testing,Meters,Klein Tools,KL3141,"This meters from Klein Tools is engineered for residential applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 10A, Wattage: 100W, Material: Plastic, Compliance: RoHS Compliant, Color: Blue",residential,$533.73,Per ft,"residential, outdoor, LED, commercial"
2014,Dampers - Allied Model AL6506,HVAC,Dampers,Allied,AL6506,"This dampers from Allied is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 50A, Wattage: 15W, Material: Plastic, Compliance: RoHS Compliant, Color: Red",educational,$165.02,Per ft,"copper, commercial, industrial, electrical"
2015,Gloves - Square D Model SQ5708,Safety,Gloves,Square D,SQ5708,"This gloves from Square D is engineered for healthcare applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 240V, Amperage: 20A, Wattage: 50W, Material: Aluminum, Compliance: UL Listed, Color: White",healthcare,$773.74,Box,"commercial, data, industrial, outdoor"
2016,Testers - 3M Model 3M5654,Tools & Testing,Testers,3M,3M5654,"This testers from 3M is engineered for educational applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 20A, Wattage: 150W, Material: Steel, Compliance: UL Listed, Color: Red",educational,$336.3,Pack,"educational, outdoor, electrical, breaker"
2017,Wall Plates - Leviton Model LE2383,Wiring Devices,Wall Plates,Leviton,LE2383,"This wall plates from Leviton is engineered for commercial applications, providing unmatched reliability, performance, and ease of installation. It is designed with high-quality materials and complies with industry standards, making it ideal for professionals seeking durability and efficiency in their electrical setups.","Voltage: 480V, Amperage: 10A, Wattage: 100W, Material: Copper, Compliance: RoHS Compliant, Color: White",commercial,$955.24,Per ft,"commercial, steel, industrial, commercial"
